name,brand,lat,lng,address_text,township,city,country_code
Filling Station (Industrial Zone),,21.895,96.165,Industrial Zone Road,Pyigyidagun,Mandalay,MM
Man Pyi Shwe Filling Station,Man Pyi Shwe,21.9735,96.0882,"Corner of 41st Street and 78th Street, Mandalay",Chanayethazan,Mandalay,MM
Myoma Filling Station,Myoma,21.9851,96.0967,"84th Street, Between 35th and 36th street, Mandalay",Chanayethazan,Mandalay,MM
Shwe Nant Thar Filling Station,Shwe Nant Thar,21.9548,96.0803,"62nd street, Between Ngu War street and Pyi Gyi Tagon Street, Mandalay",Maha Aungmye,Mandalay,MM
Parami Filling Station,Parami,21.9362,96.0925,"Corner of 26th and 78th Street, Mandalay",Aungmyethazan,Mandalay,MM
Shwe Sin Taw Filling Station,Shwe Sin Taw,21.9689,96.1093,"30th Street, Between 73rd and 74th street, Mandalay",Chanayethazan,Mandalay,MM
Aung Myint Mo Filling Station,Aung Myint Mo,21.9025,96.0831,"Corner of 35th and 42nd Street, Mandalay",Aungmyethazan,Mandalay,MM
Shwe Mandalay Filling Station,Shwe Mandalay,21.9896,96.0754,"66th Street, Between 22nd and 23rd street, Mandalay",Chanayethazan,Mandalay,MM
Pyi Gyi Khin Filling Station,Pyi Gyi Khin,21.9438,96.0779,"Corner of 26th and 62nd Street, Mandalay",Aungmyethazan,Mandalay,MM
Shwe Oak Filling Station,Shwe Oak,21.9611,96.0995,"35th Street, between 66th street and 68th street, Mandalay",Chanayethazan,Mandalay,MM
Maha Aungmye Filling Station,Maha Aungmye,21.9493,96.0654,"62nd Street, between 30th and 32nd street, Mandalay",Maha Aungmye,Mandalay,MM
Min Tayar Filling Station,Min Tayar,21.9952,96.1128,"Corner of 30th Street and 86th Street, Mandalay",Chanayethazan,Mandalay,MM
Shwe Pyi Tan Filling Station,Shwe Pyi Tan,21.9312,96.0705,"62nd Street, Corner of 39th Street, Mandalay",Aungmyethazan,Mandalay,MM
MPE Tatkone Filling Station,MPE,19.657,96.212,Yangon-Mandalay Expressway,Tatkone,Naypyidaw,MM
Shwe Taung Tatkone Filling Station,Shwe Taung,19.65,96.205,Yangon-Mandalay Expressway,Tatkone,Naypyidaw,MM
MPE Filling Station,MPE,19.77,96.14,Near Yaza Htarni Road,Ottarathiri,Naypyidaw,MM
Shwe Taung Filling Station,Shwe Taung,19.78,96.15,Yaza Htarni Road,Ottarathiri,Naypyidaw,MM
PTT Filling Station,PTT,19.76,96.13,Between Yaza Htarni Road and Yaza Thingaha Road,Ottarathiri,Naypyidaw,MM
Shwe Taung Fuel Station,Shwe Taung,19.685,96.225,Yangon-Mandalay Expressway,Pobbathiri,Naypyidaw,MM
MPE Filling Station,MPE,19.655,96.24,Main Road,Pobbathiri,Naypyidaw,MM
MPE Zeyathiri,MPE,19.754,96.147,Yazahtarni Road,Zeyathiri,Naypyidaw,MM
Shwe Taung Fuel Station Zeyathiri,Shwe Taung,19.742,96.145,Yazahtarni Road,Zeyathiri,Naypyidaw,MM
PTT Zeyathiri,PTT,19.747,96.15,Yazahtarni Road,Zeyathiri,Naypyidaw,MM
MPE Filling Station,MPE,19.689,96.211,Yangon-Mandalay Expressway,Lewe,Naypyidaw,MM
Shwe Taung Filling Station,Shwe Taung,19.723,96.238,Yangon-Mandalay Expressway,Lewe,Naypyidaw,MM
MPE Filling Station,MPE,19.75,96.2,Dekkhinathiri Main Road,Dekkhinathiri,Naypyidaw,MM
Shwe Taung Filling Station,Shwe Taung,19.73,96.22,Near Dekkhinathiri Market,Dekkhinathiri,Naypyidaw,MM
CNPC Filling Station,CNPC,19.76,96.18,Yarzathingaha Road,Dekkhinathiri,Naypyidaw,MM
MPE Zabuthiri Filling Station,MPE,19.765,96.108,Zabuthiri Township,Zabuthiri,Naypyidaw,MM
Shwe Taung Filling Station,Shwe Taung,19.754,96.092,Near Zabuthiri Market,Zabuthiri,Naypyidaw,MM
MPE Filling Station,MPE,19.73,96.21,Yangon-Mandalay Old Rd,Pyinmana,Naypyidaw,MM
Shwe Taung Filling Station,Shwe Taung,19.74,96.21,Yangon-Mandalay Old Rd,Pyinmana,Naypyidaw,MM
PTT Filling Station,PTT,19.72,96.2,Yangon-Mandalay Old Rd,Pyinmana,Naypyidaw,MM
CNPC Filling Station,CNPC,19.75,96.22,Yangon-Mandalay Old Rd,Pyinmana,Naypyidaw,MM
Myanmar Petroleum Trade (MPT) Filling Station Dekhina Thiri,MPT,19.769,96.112,"Dekhina Thiri Township, Naypyidaw",Dekhina Thiri,Naypyidaw,MM
Minlwin Fuel Station,Minlwin,19.775,96.105,"Dekhina Thiri Township, Naypyidaw",Dekhina Thiri,Naypyidaw,MM
Global Energy Filling Station,Global Energy,19.782,96.098,"Pyinmana Township, Naypyidaw",Pyinmana,Naypyidaw,MM
Myat Myittar Mon Filling Station,Myat Myittar Mon,19.79,96.091,"Pyinmana Township, Naypyidaw",Pyinmana,Naypyidaw,MM
Aung Myin Filling Station,Aung Myin,19.8,96.085,"Pyinmana Township, Naypyidaw",Pyinmana,Naypyidaw,MM
Kyaw Swar Filling Station,Kyaw Swar,19.81,96.079,"Pyinmana Township, Naypyidaw",Pyinmana,Naypyidaw,MM
Nyein Chan Yar Filling Station,Nyein Chan Yar,19.755,96.12,"Dekhina Thiri Township, Naypyidaw",Dekhina Thiri,Naypyidaw,MM
Yaung Chi Oo Filling Station,Yaung Chi Oo,19.82,96.073,"Pyinmana Township, Naypyidaw",Pyinmana,Naypyidaw,MM
Paing Hlyan Filling Station,Paing Hlyan,19.83,96.067,"Pyinmana Township, Naypyidaw",Pyinmana,Naypyidaw,MM
Shwe Nan Taw Filling Station,Shwe Nan Taw,19.74,96.125,"Dekhina Thiri Township, Naypyidaw",Dekhina Thiri,Naypyidaw,MM
Shwe Phee Oo Filling Station,Shwe Phee Oo,19.73,96.13,"Dekhina Thiri Township, Naypyidaw",Dekhina Thiri,Naypyidaw,MM
Tun Foundation Bank Filling Station,Tun Foundation Bank,19.84,96.061,"Pyinmana Township, Naypyidaw",Pyinmana,Naypyidaw,MM
Thiri Yadanar Filling Station,Thiri Yadanar,19.72,96.135,"Dekhina Thiri Township, Naypyidaw",Dekhina Thiri,Naypyidaw,MM
Yadanar Pon Filling Station,Yadanar Pon,19.85,96.055,"Pyinmana Township, Naypyidaw",Pyinmana,Naypyidaw,MM
Emerald Green Filling Station,Emerald Green,19.71,96.14,"Dekhina Thiri Township, Naypyidaw",Dekhina Thiri,Naypyidaw,MM
Shwe Kabar Filling Station,Shwe Kabar,19.7,96.145,"Dekhina Thiri Township, Naypyidaw",Dekhina Thiri,Naypyidaw,MM
Myo Myanmar Filling Station,Myo Myanmar,19.69,96.15,"Dekhina Thiri Township, Naypyidaw",Dekhina Thiri,Naypyidaw,MM
Power Fuel Station,Power,19.855,96.05,"Pyinmana Township, Naypyidaw",Pyinmana,Naypyidaw,MM
United Energy Fuel Station,United Energy,19.86,96.045,"Pyinmana Township, Naypyidaw",Pyinmana,Naypyidaw,MM
MPE Filling Station,MPE,16.48,97.61,Strand Road,Mawlamyine,Mawlamyine,MM
Shwe Taung Filling Station,Shwe Taung,16.47,97.62,Near Mawlamyine University,Mawlamyine,Mawlamyine,MM
PTT Filling Station,PTT,16.45,97.63,Main Road,Mawlamyine,Mawlamyine,MM
CNPC Filling Station,CNPC,16.46,97.64,Bayint Naung Road,Mawlamyine,Mawlamyine,MM
Filling Station (Unnamed),,16.49,97.6,Near Railway Station,Mawlamyine,Mawlamyine,MM
Total Filling Station,Total,16.44,97.65,Kyaikmaraw Road,Mawlamyine,Mawlamyine,MM
MPE Mudon,MPE,16.385,97.735,"Main Road, Mudon",Mudon,Mawlamyine,MM
Shwe Taung Mudon,Shwe Taung,16.38,97.73,Near Mudon Market,Mudon,Mawlamyine,MM
PTT Mudon,PTT,16.39,97.74,Highway Road,Mudon,Mawlamyine,MM
MPE Thanbyuzayat,MPE,16.147,97.755,Thanbyuzayat-Kyaikkami Rd,Thanbyuzayat,Mawlamyine,MM
Shwe Taung Fuel Station,Shwe Taung,16.151,97.76,Thanbyuzayat-Kyaikkami Rd,Thanbyuzayat,Mawlamyine,MM
PTT Thanbyuzayat,PTT,16.145,97.758,Thanbyuzayat-Kyaikkami Rd,Thanbyuzayat,Mawlamyine,MM
MPE Chaungzon,MPE,16.267,97.672,Chaungzon Road,Chaungzon,Mawlamyine,MM
Shwe Taung Chaungzon,Shwe Taung,16.263,97.668,Near Chaungzon Bridge,Chaungzon,Mawlamyine,MM
MPE Kyaikmaraw,MPE,16.362,97.714,Kyaikmaraw-Mawlamyine Rd,Kyaikmaraw,Mawlamyine,MM
Shwe Taung Kyaikmaraw,Shwe Taung,16.368,97.718,Kyaikmaraw-Mawlamyine Rd,Kyaikmaraw,Mawlamyine,MM
PTT Kyaikmaraw,PTT,16.364,97.71,Kyaikmaraw-Mawlamyine Rd,Kyaikmaraw,Mawlamyine,MM
Sein Myittar Filling Station,Unknown,16.4678,97.6112,"Near Mawlamyine University, Mawlamyine",Mawlamyine,Mawlamyine,MM
Aung Myint Mo Filling Station,Unknown,16.4825,97.6315,"Strand Road, Mawlamyine",Mawlamyine,Mawlamyine,MM
Win Yadanar Filling Station,Unknown,16.491,97.6355,"Bayint Naung Road, Mawlamyine",Mawlamyine,Mawlamyine,MM
Shwe Hinthar Filling Station,Unknown,16.475,97.628,"Near Railway Station, Mawlamyine",Mawlamyine,Mawlamyine,MM
Min Yae Oak Filling Station,Unknown,16.4692,97.6253,"Myine Kone Quarter, Mawlamyine",Mawlamyine,Mawlamyine,MM
Myoma Filling Station,Unknown,16.4882,97.6381,"Myoma Market Area, Mawlamyine",Mawlamyine,Mawlamyine,MM
Yadanar Bon Filling Station,Unknown,16.457,97.602,"West of Mawlamyine, near the bridge",Mawlamyine,Mawlamyine,MM
Shwe Pyi Nan Filling Station,Unknown,16.4635,97.6155,Along the main road to Mudon,Mawlamyine,Mawlamyine,MM
New Light Filling Station,Unknown,16.479,97.6295,Close to the city center,Mawlamyine,Mawlamyine,MM
Golden Land Filling Station,Unknown,16.492,97.641,North part of the city,Mawlamyine,Mawlamyine,MM
Than Lwin Star Filling Station,Unknown,16.461,97.608,Near the Thanlwin River,Mawlamyine,Mawlamyine,MM
Moe Kaung Kin Filling Station,Unknown,16.485,97.634,In a residential area,Mawlamyine,Mawlamyine,MM
Shwe Sin Filling Station,Unknown,16.4725,97.6225,Near the central market,Mawlamyine,Mawlamyine,MM
Aung Thitsar Filling Station,Unknown,16.4595,97.6055,On the outskirts of town,Mawlamyine,Mawlamyine,MM
Yadanar Mai Filling Station,Unknown,16.4805,97.631,Located on a busy street,Mawlamyine,Mawlamyine,MM
Paing Hla Filling Station,Unknown,16.493,97.6425,Toward the north of the city,Mawlamyine,Mawlamyine,MM
Thu Kha filling station,Unknown,16.465,97.61,near Kyaikhtoo Pagoda,Mawlamyine,Mawlamyine,MM
Mya Padamyar filling station,Unknown,16.477,97.62,On the main road,Mawlamyine,Mawlamyine,MM
MPE Filling Station (Bago),MPE,17.336,96.461,Yangon-Bago Road,Bago,Bago,MM
Shwe Taung Filling Station (Bago),Shwe Taung,17.331,96.467,Yangon-Bago Road,Bago,Bago,MM
PTT Filling Station (Bago),PTT,17.325,96.455,Yangon-Bago Road,Bago,Bago,MM
YBS Filling Station Bago,,17.337,96.46,Yangon-Bago Road,Bago,Bago,MM
MPE Petrol Station,MPE,17.137,96.586,Yangon-Bago Road,Kawa,Bago,MM
Shwe Taung Petrol Station,Shwe Taung,17.142,96.591,Yangon-Bago Road,Kawa,Bago,MM
YBS Petrol Station,,17.145,96.603,Yangon-Bago Road,Kawa,Bago,MM
Shwe Byain Phyu Filling Station,Shwe Byain Phyu,17.124,96.301,Yangon-Mandalay Old Highway Road,Thanatpin,Bago,MM
Thanatpin Highway Filling Station,,17.15,96.26,Yangon-Mandalay Old Highway Road,Thanatpin,Bago,MM
Unknown Station,,17.064,96.688,Yangon-Mawlamyine Road,Waw,Bago,MM
Maha Aung Myay Filling Station,MPE,17.065,96.69,Yangon-Mawlamyine Road,Waw,Bago,MM
Aung Myin Filling Station,Unknown,17.3345,96.4876,"Near Bago University, Bago",Bago,Bago,MM
Myoma Filling Station,Unknown,17.3389,96.4802,"Myoma Quarter, Bago",Bago,Bago,MM
Oakthar Myay Filling Station,Unknown,17.3122,96.4711,"Oakthar Myay, Bago",Bago,Bago,MM
Shwe Padauk Filling Station,Unknown,17.3256,96.4901,"Near Shwe Maw Daw Pagoda, Bago",Bago,Bago,MM
Bago River Filling Station,Unknown,17.3412,96.4754,"Bago River bank, Bago",Bago,Bago,MM
Han Thar Wady Filling Station,Unknown,17.3502,96.4821,"Han Thar Wady street, Bago",Bago,Bago,MM
Kyauk Taing Filling Station,Unknown,17.3012,96.4698,"Kyauk Taing area, Bago",Bago,Bago,MM
Nga Moe Yeik Filling Station,Unknown,17.4012,96.5698,"Nga Moe Yeik, Bago",Bago,Bago,MM
Bayint Naung Filling Station,Unknown,17.33,96.495,"Bayint Naung Road, Bago",Bago,Bago,MM
Thar Yar Wady Filling Station,Unknown,17.41,96.405,"Thar Yar Wady Highway, Bago",Bago,Bago,MM
Myat Lay Filling Station,Unknown,17.36,96.475,"Myat Lay Quarter, Bago",Bago,Bago,MM
Shwe Hinthar Filling Station,Unknown,17.315,96.47,"Shwe Hinthar Area, Bago",Bago,Bago,MM
Bago Central Filling Station,Unknown,17.325,96.485,"Bago Central Area, Bago",Bago,Bago,MM
Kandaw Lay Filling Station,Unknown,17.32,96.46,"Kandaw Lay Area, Bago",Bago,Bago,MM
Pyay Road Filling Station,Unknown,17.3,96.45,"Pyay Road, Bago",Bago,Bago,MM
Shwe Than Lwin Filling Station,Unknown,17.3456,96.489,"Near Shwe Than Lwin Hotel, Bago",Bago,Bago,MM
Mingalar Taung Nyunt Filling Station,Unknown,17.3301,96.4788,"Mingalar Taung Nyunt Quarter, Bago",Bago,Bago,MM
Myo Ma Zay Filling Station,Unknown,17.335,96.477,"Myo Ma Zay area, Bago",Bago,Bago,MM
Aung Mingalar Filling Station,Unknown,17.345,96.49,"Aung Mingalar Quarter, Bago",Bago,Bago,MM
Tharrawaddy Highway Filling Station,Unknown,17.395,96.41,"Tharrawaddy Highway, Bago",Bago,Bago,MM
Kyauk Gyi Filling Station,Unknown,17.25,96.5,"Kyauk Gyi Village, Bago",Bago,Bago,MM
Waw Filling Station,Unknown,17.2,96.6,"Waw Township, Bago",Waw,Bago,MM
Payagyi Filling Station,Unknown,17.15,96.55,"Payagyi Village, Bago",Bago,Bago,MM
Thanatpin Filling Station,Unknown,16.95,96.5,"Thanatpin, Bago",Thanatpin,Bago,MM
Taungoo Yoma Filling Station,Unknown,17.5,96.65,"Taungoo Yoma Area, Bago",Bago,Bago,MM
Kyaikhto Filling Station,Unknown,17.4,96.7,"Kyaikhto Area, Bago",Bago,Bago,MM
Letpandan Filling Station,Unknown,17.6,96.55,"Letpandan Area, Bago",Bago,Bago,MM
Pyuntaza Filling Station,Unknown,17.7,96.6,"Pyuntaza, Bago",Bago,Bago,MM
Okpo Filling Station,Unknown,17.8,96.65,"Okpo Township, Bago",Okpo,Bago,MM
MPE Filling Station,MPE,20.78,97.044,Bogyoke Road,Taunggyi,Taunggyi,MM
Shwe Taung Petrol Station,Shwe Taung,20.795,97.036,Near Taunggyi University,Taunggyi,Taunggyi,MM
CNPC Filling Station,CNPC,20.79,97.04,Main Road,Taunggyi,Taunggyi,MM
MPT Petrol Station,MPT,20.775,97.05,Somewhere in Taunggyi,Taunggyi,Taunggyi,MM
Sein Myittar Fuel Station,MPE,20.645,96.568,Kalaw-Aungban Road,Kalaw,Taunggyi,MM
U-Yee Filling Station,,20.635,96.555,Near Kalaw Market,Kalaw,Taunggyi,MM
Shwe Taung Ngwe Taung Petrol Station,Shwe Taung,20.64,96.56,Kalaw-Aungban Road,Kalaw,Taunggyi,MM
Aung Chan Thar Petrol Station,,20.655,96.575,Near Myin Ma Hti Cave Road,Kalaw,Taunggyi,MM
MPE Filling Station,MPE,20.655,96.925,"Main Road, Nyaungshwe",Nyaungshwe,Taunggyi,MM
Shwe Taung Filling Station,Shwe Taung,20.645,96.92,Near Nyaungshwe Market,Nyaungshwe,Taunggyi,MM
PTT Filling Station,PTT,20.66,96.93,Nyaungshwe-Taunggyi Road,Nyaungshwe,Taunggyi,MM
CNPC Filling Station,CNPC,20.63,96.915,Nyaungshwe Bypass,Nyaungshwe,Taunggyi,MM
Shwe Than Lwin Petrol Station,Shwe Than Lwin,20.791,97.073,Taunggyi-Hopong Road,Hopong,Taunggyi,MM
Hopong Filling Station,,20.796,97.075,Main Road,Hopong,Taunggyi,MM
Yadanar Theingi Filling Station,,20.415,97.305,Lawksawk-Taunggyi Road,Lawksawk,Taunggyi,MM
Shwe Padauk Oil Station,,20.418,97.296,Lawksawk-Taunggyi Road,Lawksawk,Taunggyi,MM
Myoma Fuel Station,Unknown,20.7833,97.0333,Taunggyi,Taunggyi,Taunggyi,MM
Pin Lone Fuel Station,Pin Lone,20.789,97.042,"Near Pin Lone Village, Taunggyi",Taunggyi,Taunggyi,MM
Kyaukse Fuel Station,Kyaukse,20.795,97.051,"Kyaukse Area, Taunggyi",Taunggyi,Taunggyi,MM
Thar Si Fuel Station,Thar Si,20.778,97.025,"Near Thar Si Village, Taunggyi",Taunggyi,Taunggyi,MM
Yae Aye Fuel Station,Yae Aye,20.765,97.018,"Yae Aye Area, Taunggyi",Taunggyi,Taunggyi,MM
Inn Lay Fuel Station,Inn Lay,20.752,97.005,"Near Inn Lay Lake, Taunggyi",Taunggyi,Taunggyi,MM
Nan Pan Fuel Station,Nan Pan,20.749,96.992,"Nan Pan Area, Taunggyi",Taunggyi,Taunggyi,MM
Shwe Nann Fuel Station,Shwe Nann,20.736,96.985,"Near Shwe Nann Village, Taunggyi",Taunggyi,Taunggyi,MM
Maha Myat Muni Fuel Station,Unknown,20.799,97.066,"Near Maha Myat Muni Pagoda, Taunggyi",Taunggyi,Taunggyi,MM
Taw Win Fuel Station,Unknown,20.805,97.072,"Taw Win Area, Taunggyi",Taunggyi,Taunggyi,MM
Nang Cho Fuel Station,Unknown,20.7855,97.0456,Taunggyi,Taunggyi,Taunggyi,MM
Aye Thar Yar Fuel Station,Unknown,20.7923,97.0389,"Aye Thar Yar, Taunggyi",Taunggyi,Taunggyi,MM
Shan Yoma Fuel Station,Shan Yoma,20.7798,97.0295,Taunggyi,Taunggyi,Taunggyi,MM
Inle Star Fuel Station,Inle Star,20.7682,97.0154,"Inle Region, Taunggyi",Taunggyi,Taunggyi,MM
Golden Land Fuel Station,Golden Land,20.7547,97.0012,Taunggyi,Taunggyi,Taunggyi,MM
Shwe Pyi Tan Fuel Station,Unknown,20.7815,97.0412,Taunggyi,Taunggyi,Taunggyi,MM
Pa-O Region Fuel Station,Pa-O,20.7942,97.0528,Taunggyi,Taunggyi,Taunggyi,MM
Taunggyi Main Fuel Station,Unknown,20.7759,97.0331,"Main Road, Taunggyi",Taunggyi,Taunggyi,MM
Nant Thar Gon Fuel Station,Unknown,20.7911,97.0607,Taunggyi,Taunggyi,Taunggyi,MM
MPE Filling Station (Pathein),MPE,16.77,94.73,"Strand Road, Pathein",Pathein,Pathein,MM
Shwe Taung Filling Station (Pathein),Shwe Taung,16.78,94.73,"Aung Chan Thar Road, Pathein",Pathein,Pathein,MM
Unknown Filling Station (Pathein),,16.78,94.75,"Near Pathein University, Pathein",Pathein,Pathein,MM
Aung Myint Mo Filling Station,MPE,17.8011,95.0557,Thabaung-Ngaung Tone Road,Thabaung,Pathein,MM
Yadanar Theingi Filling Station,Shwe Taung,17.7989,95.0608,Thabaung-Ngaung Tone Road,Thabaung,Pathein,MM
Unknown Fuel Station,,17.73,94.68,Ngapudaw - Pathein Rd,Ngapudaw,Pathein,MM
Unknown Fuel Station,,17.71,94.75,Near Ngapudaw,Ngapudaw,Pathein,MM
Kangyidaunt Aung Gabar Petrol Station,MPE,16.737,94.944,Pathein - Myaungmya Rd,Kangyidaunt,Pathein,MM
Filling Station,,16.764,94.94,,Kangyidaunt,Pathein,MM
Shwe Padauk Petrol Station,,16.744,94.943,Pathein - Myaungmya Rd,Kangyidaunt,Pathein,MM
Shwe Pyi Nan Filling Station,Unknown,16.783,94.739,"Near Pathein University, Pathein",Pathein,Pathein,MM
Tun Filling Station,Tun,16.788,94.725,"Strand Road, Pathein",Pathein,Pathein,MM
Aung Thapyay Filling Station,Unknown,16.775,94.742,"Kyaung Street, Pathein",Pathein,Pathein,MM
New Light Filling Station,Unknown,16.792,94.718,"Near Bridge, Pathein",Pathein,Pathein,MM
Golden Star Filling Station,Unknown,16.768,94.751,"Industrial Zone, Pathein",Pathein,Pathein,MM
Myint Mo Filling Station,Unknown,16.771,94.733,"Corner of Main Street, Pathein",Pathein,Pathein,MM
Shwe Hintha Filling Station,Unknown,16.801,94.729,"Near Airport Road, Pathein",Pathein,Pathein,MM
Yuzana Filling Station,Unknown,16.785,94.755,"Beside Highway, Pathein",Pathein,Pathein,MM
Lin Thar Filling Station,Unknown,16.795,94.748,"West of Market, Pathein",Pathein,Pathein,MM
Pahtama Filling Station,Unknown,16.779,94.721,"City Center, Pathein",Pathein,Pathein,MM
Htoo Wai Yan Filling Station,Unknown,16.765,94.735,"Near the River, Pathein",Pathein,Pathein,MM
Zin Yaw Filling Station,Unknown,16.782,94.715,"North of town, Pathein",Pathein,Pathein,MM
Aye Chan Thar Filling Station,Unknown,16.798,94.761,"East of Pathein, Pathein",Pathein,Pathein,MM
Win Gabar Filling Station,Unknown,16.772,94.747,"Near School, Pathein",Pathein,Pathein,MM
Sein Gabar Filling Station,Unknown,16.789,94.732,"Opposite the Park, Pathein",Pathein,Pathein,MM
Ya Za Htar Filling Station,Unknown,16.762,94.728,"Southern part of the city, Pathein",Pathein,Pathein,MM
Pan Kyo Gabar Filling Station,Unknown,16.805,94.735,"Close to the market area, Pathein",Pathein,Pathein,MM
Shwe Lamin Filling Station,Unknown,16.777,94.711,"Near main road, Pathein",Pathein,Pathein,MM
Ko Htoo Aung Filling Station,Unknown,16.791,94.758,"Towards the outskirts, Pathein",Pathein,Pathein,MM
Ngar Gabar Filling Station,Unknown,16.769,94.744,"Beside Township Office, Pathein",Pathein,Pathein,MM
Shwe Nagar Filling Station,Unknown,16.786,94.708,"Outer ring road, Pathein",Pathein,Pathein,MM
Mya Gabar Filling Station,Unknown,16.793,94.719,"Beside the Main Market, Pathein",Pathein,Pathein,MM
Shwe Taung Petrol Station,Shwe Taung,17.647,95.468,Strand Road,Hinthada,Hinthada,MM
MPE Filling Station,MPE,17.642,95.463,Aung San Road,Hinthada,Hinthada,MM
PTT Petrol Station,PTT,17.638,95.459,Near Hinthada University,Hinthada,Hinthada,MM
CNPC Filling Station,CNPC,17.64,95.465,Bayint Naung Road,Hinthada,Hinthada,MM
Aung Yadana Petrol Station,Unknown,18.4321,95.4678,"Hinthada-Pathein Road, Hinthada",Hinthada,Hinthada,MM
Yoma Petrol Station,Yoma,18.4255,95.459,"Near Railway Station, Hinthada",Hinthada,Hinthada,MM
Myanmar Energy Petrol Station,Myanmar Energy,18.4392,95.4715,"Upper Main Road, Hinthada",Hinthada,Hinthada,MM
Pinlone Petrol Station,Pinlone,18.4188,95.4522,"Near the river, Hinthada",Hinthada,Hinthada,MM
Thanlwin Petrol Station,Unknown,18.4455,95.4789,"Beside Thanlwin River, Hinthada",Hinthada,Hinthada,MM
Shwe Pyi Tan Petrol Station,Unknown,18.4365,95.4691,"Near the market, Hinthada",Hinthada,Hinthada,MM
Myoma Petrol Station,Unknown,18.4298,95.4634,"Myoma area, Hinthada",Hinthada,Hinthada,MM
Ayeyarwady Petrol Station,Unknown,18.4511,95.4826,"Ayeyarwady River area, Hinthada",Hinthada,Hinthada,MM
Parami Petrol Station,Unknown,18.4222,95.4558,"Parami Street, Hinthada",Hinthada,Hinthada,MM
Shwe Sin Petrol Station,Unknown,18.4488,95.4802,"Close to Shwe Sin Pagoda, Hinthada",Hinthada,Hinthada,MM
Kyauk Tan Petrol Station,Unknown,18.4165,95.4501,"Kyauk Tan area, Hinthada",Hinthada,Hinthada,MM
Thazin Petrol Station,Unknown,18.4342,95.4655,"Thazin Street, Hinthada",Hinthada,Hinthada,MM
Kantaryar Petrol Station,Unknown,18.4418,95.4741,"Kantaryar area, Hinthada",Hinthada,Hinthada,MM
Bawgatiri Petrol Station,Unknown,18.4139,95.4478,"Bawgatiri Area, Hinthada",Hinthada,Hinthada,MM
Yuzana Petrol Station,Yuzana,18.4271,95.4607,"Yuzana Street, Hinthada",Hinthada,Hinthada,MM
Golden Land Petrol Station,Golden Land,18.4431,95.4754,"Golden Land Area, Hinthada",Hinthada,Hinthada,MM
Shwe Hintha Petrol Station,Unknown,18.4305,95.4641,"Shwe Hintha Street, Hinthada",Hinthada,Hinthada,MM
United Petrol Station,United,18.4195,95.4539,"Near the stadium, Hinthada",Hinthada,Hinthada,MM
Pioneer Petrol Station,Unknown,18.4462,95.4795,On the outskirts of Hinthada,Hinthada,Hinthada,MM
Myat Phone Petrol Station,Unknown,18.4238,95.4574,"Close to the city center, Hinthada",Hinthada,Hinthada,MM
Zaw Gyi Petrol Station,Unknown,18.4378,95.4701,"Zaw Gyi Ward, Hinthada",Hinthada,Hinthada,MM
MPE Filling Station,MPE,18.812,95.228,Bago-Pyay Road,Pyay,Pyay,MM
Shwe Taung Filling Station,Shwe Taung,18.82,95.235,Bago-Pyay Road,Pyay,Pyay,MM
PTT Filling Station,PTT,18.818,95.24,Bago-Pyay Road,Pyay,Pyay,MM
CNPC Filling Station,CNPC,18.805,95.245,Bago-Pyay Road,Pyay,Pyay,MM
Total Filling Station,Total,18.808,95.231,Bago-Pyay Road,Pyay,Pyay,MM
Aung Myint Mo Filling Station,,18.825,95.22,Near Pyay University,Pyay,Pyay,MM
Myint Mo Filling Station,,18.815,95.215,Near Pyay Railway Station,Pyay,Pyay,MM
Kyaw Zeya Filling Station,,18.83,95.23,Tharsi Road,Pyay,Pyay,MM
MPE Filling Station,MPE,18.857,95.355,Pyay-Aunglan Road,Paukkung,Pyay,MM
Shwe Taung Filling Station,Shwe Taung,18.862,95.36,Pyay-Aunglan Road,Paukkung,Pyay,MM
Shwe Taung Petrol Station,Shwe Taung,18.749,95.334,Yangon-Pyay Road,Shwedaung,Pyay,MM
MPE Filling Station,MPE,18.755,95.341,Near Shwedaung Hospital,Shwedaung,Pyay,MM
Aung Thitsar Filling Station,MPE,18.673,95.391,Yangon-Pyay Rd,Pandaung,Pyay,MM
Kyaw Zaya Filling Station,MPE,18.694,95.365,Yangon-Pyay Rd,Pandaung,Pyay,MM
Yadanar Theingi Filling Station,Unknown,18.8281,95.2245,"Pyay, Myanmar",Pyay,Pyay,MM
Parami Filling Station,Unknown,18.8203,95.2317,"Pyay, Myanmar",Pyay,Pyay,MM
Aung Gabar Filling Station,Unknown,18.8359,95.2192,"Pyay, Myanmar",Pyay,Pyay,MM
Min Tayza Filling Station,Unknown,18.8127,95.2389,"Pyay, Myanmar",Pyay,Pyay,MM
Shwe Pyi Tan Filling Station,Unknown,18.8435,95.2126,"Pyay, Myanmar",Pyay,Pyay,MM
Mya Yadanar Filling Station,Unknown,18.8051,95.2463,"Pyay, Myanmar",Pyay,Pyay,MM
Pinlon Filling Station,Unknown,18.7975,95.2531,"Pyay, Myanmar",Pyay,Pyay,MM
Than Win Filling Station,Unknown,18.7949,95.2398,"Pyay, Myanmar",Pyay,Pyay,MM
Shwe Hintha Filling Station,Unknown,18.8174,95.2264,"Pyay, Myanmar",Pyay,Pyay,MM
New Light Filling Station,Unknown,18.8308,95.2228,"Pyay, Myanmar",Pyay,Pyay,MM
